 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 57 | Chabot, Nancy Lynne | THE UNIVERSITY OF ARIZONA | 1999 | female | 4 | 18 | 2016 | 5 | 41 | 2016 | 0 | 0 | 0 | 1 | 0 | 3 | 2 | 0 | 0 | 3 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 4 | 2 | 0 | 0 | 3 | 1 | 2 | 1 | 1 | 2 | 5 | 1 | 7 | 1 | 3 | 2 | 6 | 4 |
 58 | Grier, Jennifer Ann | THE UNIVERSITY OF ARIZONA | 1999 | female | 4 | 2 | 2004 | 12 | 7 | 2011 | 0 | 1 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 4 | 1 | 1 | 1 | 2 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |
 69 | Cambrésy, Laurent | IPAC / CALTECH 100-22, CA 91125, USA | 1999 | male | 3 | 7 | 2013 | 6 | 31 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 2 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 4 | 0 | 4 | 3 | 3 | 2 | 1 | 4 | 0 | 0 | 1 | 6 | 1 | 0 | 1 | 2 | 1 | 0 |
 78 | Gnedin, Oleg Yuri | PRINCETON UNIVERSITY | 1999 | male | 10 | 18 | 2014 | 12 | 64 | 2017 | 0 | 2 | 0 | 3 | 1 | 4 | 1 | 5 | 2 | 2 | 2 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 5 | 1 | 4 | 1 | 7 | 5 | 4 | 7 | 8 | 6 | 5 | 2 | 3 | 3 | 2 | 1 | 2 | 3 | 1 | 1 |
 81 | Greeley, Bradford W. | THE JOHNS HOPKINS UNIVERSITY | 1999 | male | 4 | 0 | 1999 | 5 | 0 | 1999 | 0 | 1 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 82 | Miles, Brian Herndon | THE UNIVERSITY OF ARIZONA | 1999 | male | 1 | 0 | 1999 | 1 | 0 | 1999 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 86 | Rhoadarmer, Troy Allen | THE UNIVERSITY OF ARIZONA | 1999 | male | 1 | 0 | 1999 | 4 | 0 | 1999 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 88 | Kane, Jave | THE UNIVERSITY OF ARIZONA | 1999 | male | 4 | 3 | 2005 | 7 | 19 | 2009 | 0 | 0 | 0 | 1 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 4 | 6 | 1 | 2 | 0 | 0 | 5 | 1 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 89 | Balsano, Richard Joseph | PRINCETON UNIVERSITY | 1999 | male | 1 | 0 | 1999 | 3 | 7 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 3 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 92 | Baker, John Gerard | THE PENNSYLVANIA STATE UNIVERSITY | 1999 | male | 4 | 20 | 2012 | 9 | 58 | 2016 | 0 | 0 | 0 | 2 | 0 | 2 | 3 | 1 | 2 | 1 | 1 | 2 | 3 | 4 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 4 | 1 | 3 | 4 | 1 | 2 | 1 | 2 | 4 | 4 | 9 | 6 | 4 | 8 | 2 | 2 | 5 | 1 | 1 | 2 |
 93 | Tomsick, John Allen | COLUMBIA UNIVERSITY | 1999 | male | 4 | 32 | 2016 | 7 | 209 | 2017 | 0 | 0 | 0 | 0 | 1 | 3 | 2 | 3 | 1 | 3 | 2 | 2 | 2 | 1 | 2 | 3 | 1 | 1 | 2 | 0 | 3 | 2 | 2 | 0 | 0 | 0 | 0 | 3 | 4 | 2 | 6 | 3 | 11 | 7 | 6 | 12 | 7 | 6 | 13 | 7 | 10 | 17 | 16 | 28 | 21 | 26 |
 98 | Green, Kris H. | THE UNIVERSITY OF ARIZONA | 1999 | male | 1 | 0 | 1999 | 1 | 4 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |
 102 | Rhodes, Jason Dennis | PRINCETON UNIVERSITY | 1999 | male | 2 | 8 | 2015 | 2 | 97 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 2 | 4 | 3 | 1 | 17 | 7 | 4 | 10 | 4 | 14 | 9 | 2 | 10 | 3 |
 103 | Szokoly, Gyula Pal | THE JOHNS HOPKINS UNIVERSITY | 1999 | male | 2 | 2 | 2005 | 4 | 103 | 2012 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 6 | 14 | 9 | 5 | 9 | 11 | 1 | 3 | 5 | 18 | 8 | 8 | 6 | 0 | 0 | 0 | 0 |
 112 | Wang, Jing | THE JOHNS HOPKINS UNIVERSITY | 1999 | female | 29 | 128 | 2017 | 69 | 658 | 2017 | 7 | 3 | 4 | 5 | 5 | 5 | 5 | 3 | 3 | 5 | 8 | 7 | 6 | 3 | 7 | 6 | 10 | 16 | 11 | 5 | 9 | 11 | 10 | 17 | 10 | 9 | 14 | 10 | 9 | 22 | 26 | 19 | 33 | 18 | 35 | 26 | 28 | 31 | 43 | 54 | 56 | 43 | 37 | 42 | 63 | 49 |
 113 | Turner, Neal James | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 1999 | male | 6 | 16 | 2014 | 8 | 123 | 2017 | 0 | 0 | 1 | 2 | 0 | 3 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 2 | 2 | 1 | 1 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 1 | 4 | 0 | 3 | 3 | 2 | 2 | 1 | 3 | 3 | 4 | 4 | 8 | 8 | 6 | 17 | 15 | 12 | 11 | 15 | 7 |
 114 | Wolven, Brian Charles | THE JOHNS HOPKINS UNIVERSITY | 1999 | male | 3 | 1 | 2001 | 5 | 19 | 2015 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 3 | 3 | 1 | 2 | 4 | 3 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 |
 119 | McPhate, Jason Boyce | THE JOHNS HOPKINS UNIVERSITY | 1999 | male | 2 | 0 | 1999 | 7 | 7 | 2012 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 2 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 |
 123 | Cole, David Michael | THE UNIVERSITY OF CHICAGO | 1999 | male | 2 | 0 | 1999 | 4 | 14 | 2013 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 0 | 0 | 1 | 3 | 0 | 1 | 0 | 2 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
 126 | Kupperman, David Gerson | THE JOHNS HOPKINS UNIVERSITY | 1999 | male | 2 | 0 | 1999 | 3 | 0 | 1999 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 128 | Forster, Karl | COLUMBIA UNIVERSITY | 1999 | male | 4 | 1 | 2001 | 7 | 142 | 2017 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 2 | 0 | 2 | 1 | 0 | 1 | 35 | 6 | 33 | 3 | 3 | 7 | 9 | 7 | 7 | 5 | 10 | 7 |
 129 | Fassnacht, Christopher D. | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1999 | male | 5 | 8 | 2011 | 17 | 105 | 2017 | 0 | 0 | 1 | 0 | 1 | 3 | 0 | 1 | 2 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 5 | 7 | 7 | 4 | 3 | 5 | 4 | 4 | 2 | 7 | 6 | 8 | 5 | 3 | 10 | 10 | 5 | 8 | 6 |
 131 | Umurhan, Orkan Mehmet | COLUMBIA UNIVERSITY | 1999 | male | 2 | 14 | 2017 | 2 | 36 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 1 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 3 | 2 | 3 | 0 | 2 | 1 | 1 | 1 | 12 |
 132 | Casti, Alexander Robert Richard | COLUMBIA UNIVERSITY | 1999 | male | 2 | 0 | 1999 | 2 | 0 | 1999 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 133 | Wong, Sun | COLUMBIA UNIVERSITY | 1999 | male | 1 | 2 | 2008 | 6 | 7 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 |
 135 | Slyz, Adrianne | COLUMBIA UNIVERSITY | 1999 | female | 2 | 4 | 2005 | 2 | 46 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 3 | 3 | 2 | 2 | 1 | 1 | 2 | 2 | 5 | 5 | 2 | 2 | 8 | 4 |
 142 | Maller, Ariyeh Hersl | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 1999 | None | 2 | 11 | 2009 | 3 | 22 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 3 | 2 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 1 | 3 | 2 | 1 | 1 | 1 | 0 | 1 | 3 | 1 | 2 | 0 | 1 | 2 | 0 | 1 |
 160 | Ushomirsky, Gregory | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 | male | 1 | 0 | 1999 | 1 | 0 | 1999 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 162 | Johnson, Jennifer Anne | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 1999 | female | 4 | 16 | 2016 | 11 | 164 | 2017 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 1 | 3 | 0 | 2 | 1 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 4 | 0 | 1 | 3 | 3 | 2 | 1 | 3 | 2 | 7 | 1 | 6 | 6 | 10 | 14 | 17 | 20 | 11 | 11 | 16 | 15 | 15 |
 165 | Grant, Catherine Elizabeth | THE PENNSYLVANIA STATE UNIVERSITY | 1999 | female | 2 | 2 | 2008 | 2 | 15 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 4 | 0 | 1 | 3 | 1 | 0 | 0 | 2 | 0 |
 167 | Linder, Suzanne Michele | THE PENNSYLVANIA STATE UNIVERSITY | 1999 | female | 2 | 3 | 2004 | 4 | 14 | 2009 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 3 | 3 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 171 | Norman, Dara Joscelyne | UNIVERSITY OF WASHINGTON | 1999 | female | 2 | 3 | 2009 | 2 | 12 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 4 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
 177 | Head, James Norman | THE UNIVERSITY OF ARIZONA | 1999 | male | 1 | 3 | 2015 | 5 | 15 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 3 | 0 | 0 | 1 | 1 | 1 | 3 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 2 | 1 | 1 | 0 | 2 | 0 |
 183 | Panaitescu, Alin-Daniel | THE PENNSYLVANIA STATE UNIVERSITY | 1999 | male | 8 | 33 | 2017 | 9 | 57 | 2017 | 0 | 0 | 0 | 1 | 4 | 3 | 2 | 4 | 1 | 1 | 2 | 2 | 4 | 4 | 3 | 1 | 0 | 2 | 1 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 2 | 4 | 3 | 5 | 6 | 3 | 3 | 4 | 3 | 6 | 7 | 4 | 2 | 0 | 3 | 3 | 2 | 3 | 1 | 1 |
 184 | Skelton, Brooke Patterson | UNIVERSITY OF WASHINGTON | 1999 | female | 2 | 0 | 1999 | 4 | 0 | 1999 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 186 | Blanton, Michael Rogers | PRINCETON UNIVERSITY | 1999 | male | 3 | 20 | 2016 | 3 | 156 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 3 | 2 | 0 | 4 | 0 | 3 | 2 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 2 | 3 | 3 | 7 | 11 | 10 | 22 | 13 | 7 | 5 | 5 | 8 | 12 | 11 | 8 | 5 | 16 | 9 |
