 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 72 | France, Kevin C. | The Johns Hopkins University | 2006 | male | 4 | 23 | 2016 | 5 | 85 | 2017 | 0 | 0 | 0 | 1 | 2 | 1 | 2 | 0 | 1 | 4 | 4 | 3 | 2 | 3 | 1 | 3 | 0 | 0 | 0 | 1 | 2 | 2 | 4 | 0 | 2 | 15 | 11 | 11 | 7 | 12 | 6 | 13 |
 74 | Reddy, Naveen A. | California Institute of Technology | 2006 | male | 6 | 9 | 2016 | 24 | 73 | 2017 | 0 | 0 | 0 | 2 | 1 | 3 | 0 | 1 | 1 | 1 | 1 | 2 | 0 | 0 | 1 | 2 | 1 | 0 | 1 | 7 | 7 | 8 | 5 | 2 | 3 | 6 | 6 | 12 | 5 | 3 | 13 | 14 |
 75 | Swift, Jonathan Jay | University of California, Berkeley | 2006 | male | 4 | 7 | 2015 | 4 | 21 | 2017 | 1 | 0 | 0 | 0 | 1 | 2 | 0 | 2 | 1 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 0 | 3 | 3 | 3 | 0 | 0 | 2 | 2 | 5 | 2 |
 78 | Meakin, Casey A. | The University of Arizona, Arizona, USA | 2006 | male | 4 | 5 | 2011 | 7 | 28 | 2016 | 0 | 0 | 1 | 0 | 1 | 2 | 2 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 3 | 3 | 0 | 4 | 3 | 6 | 4 | 2 | 1 | 2 | 3 |
 79 | Makarov, Alexey | Princeton University | 2006 | male | 2 | 1 | 2007 | 8 | 3 | 2011 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 3 | 2 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
 91 | Collins, Jeffrey Scott | University of California, Berkeley | 2006 | male | 1 | 0 | 2006 | 4 | 3 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 94 | Lanting, Trevor Michael | University of California, Berkeley | 2006 | male | 1 | 0 | 2006 | 3 | 11 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 5 | 1 | 2 | 1 | 0 | 0 | 0 | 1 |
 95 | Lillis, Robert James | University of California, Berkeley | 2006 | male | 4 | 19 | 2017 | 6 | 71 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 4 | 2 | 3 | 1 | 1 | 3 | 0 | 3 | 1 | 0 | 0 | 0 | 1 | 2 | 3 | 4 | 4 | 4 | 6 | 4 | 7 | 5 | 4 | 19 | 5 |
 101 | Vallinotto, Alberto | The University of Chicago | 2006 | male | 2 | 6 | 2013 | 5 | 18 | 2015 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 2 | 3 | 2 | 4 | 2 | 3 | 1 | 0 | 1 | 0 |
 102 | Bogdanovic, Tamara | The Pennsylvania State University | 2006 | female | 1 | 0 | 2006 | 3 | 26 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 4 | 1 | 2 | 3 | 3 | 3 | 2 | 3 |
 103 | Chen, Jacqueline | The University of Chicago | 2006 | female | 21 | 30 | 2015 | 60 | 85 | 2017 | 2 | 2 | 3 | 2 | 5 | 7 | 5 | 7 | 4 | 4 | 4 | 2 | 2 | 1 | 1 | 0 | 5 | 3 | 7 | 7 | 17 | 21 | 8 | 12 | 12 | 11 | 10 | 7 | 9 | 2 | 5 | 4 |
 107 | Lundquist, Loraine Louise | University of California, Berkeley, California, USA | 2006 | female | 1 | 2 | 2008 | 1 | 11 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 8 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 108 | Busca, Nicolas G. | The University of Chicago | 2006 | male | 2 | 3 | 2013 | 8 | 51 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 4 | 3 | 4 | 8 | 4 | 7 | 8 | 3 | 7 | 4 | 5 | 1 |
 112 | Moustakas, John | The University of Arizona, Arizona, USA | 2006 | male | 4 | 2 | 2013 | 7 | 119 | 2017 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 6 | 7 | 8 | 12 | 9 | 10 | 11 | 13 | 20 | 17 | 9 |
 118 | Shiraishi, Kiyoshi Keola | University of Washington, Washington, USA | 2006 | male | 2 | 0 | 2006 | 26 | 16 | 2016 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 4 | 7 | 3 | 8 | 2 | 4 | 2 | 1 | 1 | 3 | 1 | 0 | 1 | 1 |
 129 | Pan, Yi | California Institute of Technology | 2006 | male | 4 | 13 | 2016 | 20 | 156 | 2017 | 0 | 1 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 3 | 4 | 1 | 1 | 1 | 0 | 2 | 10 | 6 | 9 | 18 | 20 | 11 | 13 | 23 | 12 | 24 | 10 | 13 |
 138 | Agueros, Marcel A. . | University of Washington, Washington, USA | 2006 | male | 1 | 0 | 2006 | 15 | 37 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 3 | 3 | 5 | 4 | 3 | 5 | 1 | 5 | 4 | 2 | 4 | 3 | 5 |
 142 | Peng, Fang | The University of Chicago, Illinois, USA | 2006 | female | 7 | 9 | 2017 | 8 | 15 | 2017 | 2 | 1 | 0 | 1 | 2 | 1 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 2 | 0 | 2 | 2 | 1 | 1 | 1 | 2 | 1 | 3 | 0 | 3 | 1 | 1 | 0 | 0 | 3 | 1 | 2 |
 143 | Stuver, Amber L. | The Pennsylvania State University, Pennsylvania, USA | 2006 | female | 3 | 0 | 2006 | 21 | 133 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 7 | 8 | 6 | 8 | 14 | 14 | 9 | 7 | 16 | 6 | 15 | 6 | 28 |
 158 | Ma, Zhaoming | The University of Chicago, Illinois, USA | 2006 | male | 7 | 7 | 2014 | 33 | 33 | 2017 | 3 | 1 | 0 | 0 | 0 | 3 | 3 | 3 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 5 | 2 | 4 | 8 | 9 | 5 | 9 | 8 | 2 | 3 | 2 | 3 | 0 | 2 | 2 | 1 |
 161 | Kuhlen, Michael | University of California, Santa Cruz | 2006 | male | 6 | 12 | 2013 | 9 | 35 | 2016 | 0 | 0 | 0 | 1 | 2 | 3 | 1 | 1 | 2 | 2 | 0 | 4 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 3 | 4 | 5 | 7 | 5 | 4 | 0 | 6 | 4 | 3 | 0 | 1 |
 162 | Leistra, Andrea Lynn | The University of Arizona | 2006 | female | 3 | 0 | 2006 | 3 | 0 | 2006 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 165 | Cohen, Randi L. | University of California, Santa Cruz | 2006 | female | 1 | 0 | 2006 | 3 | 7 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 2 | 2 | 1 | 0 |
 176 | Wesley, Daniel H. | Princeton University, New Jersey, USA | 2006 | male | 2 | 2 | 2009 | 5 | 13 | 2013 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 3 | 3 | 2 | 3 | 1 | 0 | 1 | 0 | 0 | 0 |
