 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 100 | Lotz, Jennifer Mae | THE JOHNS HOPKINS UNIVERSITY | 2003 | female | 4 | 10 | 2017 | 8 | 97 | 2017 | 0 | 0 | 1 | 1 | 0 | 2 | 2 | 0 | 1 | 0 | 2 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 1 | 2 | 6 | 1 | 2 | 14 | 7 | 7 | 9 | 10 | 14 | 7 | 3 | 10 | 3 |
 102 | Runyan, Marcus Christian | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2003 | male | 3 | 1 | 2008 | 7 | 13 | 2016 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 5 | 1 | 0 | 0 | 2 | 2 | 1 | 0 | 1 | 2 | 1 | 0 | 2 | 1 |
 103 | Zirm, Andrew Wasmuth | THE JOHNS HOPKINS UNIVERSITY | 2003 | male | 2 | 5 | 2012 | 10 | 53 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 4 | 5 | 5 | 7 | 7 | 8 | 4 | 3 | 2 | 2 | 3 | 5 | 3 | 0 | 3 |
 105 | Danforth, Charles Weston | THE JOHNS HOPKINS UNIVERSITY | 2003 | male | 6 | 10 | 2016 | 8 | 60 | 2017 | 0 | 0 | 1 | 2 | 1 | 2 | 0 | 1 | 2 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 3 | 1 | 3 | 0 | 2 | 7 | 2 | 1 | 5 | 5 | 9 | 5 | 7 | 7 | 5 | 3 |
 106 | Tremonti, Christina Ann | THE JOHNS HOPKINS UNIVERSITY | 2003 | female | 1 | 0 | 2003 | 2 | 18 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 2 | 0 | 2 | 2 | 0 | 1 | 0 | 2 | 2 | 4 | 1 |
 108 | Fujita, Akimi | COLUMBIA UNIVERSITY | 2003 | female | 2 | 3 | 2009 | 2 | 3 | 2009 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 109 | Lane, Benjamin F. | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2003 | male | 7 | 7 | 2014 | 21 | 32 | 2015 | 0 | 0 | 1 | 2 | 1 | 3 | 1 | 1 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 3 | 5 | 2 | 4 | 2 | 5 | 5 | 5 | 5 | 4 | 2 | 1 | 5 | 0 | 3 | 0 | 1 | 1 | 0 |
 110 | Peng, Eric West | THE JOHNS HOPKINS UNIVERSITY | 2003 | male | 2 | 9 | 2016 | 9 | 97 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 0 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 3 | 4 | 8 | 5 | 8 | 7 | 5 | 3 | 7 | 6 | 6 | 6 | 8 | 11 | 12 |
 112 | Ziskin, Viktor | THE JOHNS HOPKINS UNIVERSITY | 2003 | male | 1 | 0 | 2003 | 1 | 1 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 113 | Chandler, Adam M. | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2003 | male | 3 | 0 | 2003 | 3 | 16 | 2006 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 7 | 7 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
