n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1967 | fa_1968 | fa_1969 | fa_1970 | fa_1971 | fa_1972 | fa_1973 | fa_1974 | fa_1975 | fa_1976 | fa_1977 | fa_1978 | fa_1979 | fa_1980 | fa_1981 | fa_1982 | fa_1983 | fa_1984 | fa_1985 | fa_1986 | fa_1987 | fa_1988 | fa_1989 | fa_1990 | fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1967 | all_1968 | all_1969 | all_1970 | all_1971 | all_1972 | all_1973 | all_1974 | all_1975 | all_1976 | all_1977 | all_1978 | all_1979 | all_1980 | all_1981 | all_1982 | all_1983 | all_1984 | all_1985 | all_1986 | all_1987 | all_1988 | all_1989 | all_1990 | all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
27 | Soifer, Baruch Thomas | CORNELL UNIVERSITY. | 1972 | male | 3 | 48 | 2008 | 6 | 305 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 1 | 4 | 0 | 1 | 4 | 2 | 3 | 1 | 1 | 3 | 0 | 3 | 2 | 0 | 2 | 1 | 3 | 1 | 0 | 2 | 1 | 1 | 0 | 1 | 2 | 1 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 4 | 1 | 4 | 6 | 11 | 7 | 5 | 9 | 5 | 13 | 6 | 7 | 17 | 10 | 11 | 8 | 12 | 8 | 12 | 8 | 3 | 5 | 11 | 10 | 7 | 3 | 6 | 9 | 6 | 7 | 2 | 6 | 19 | 6 | 16 | 9 | 7 | 6 | 0 | 3 | 3 | 0 | 0 | 0 | 0 |
28 | O'dell, Stephen Lynn | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1972 | male | 3 | 6 | 1988 | 5 | 65 | 2017 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 3 | 3 | 5 | 0 | 5 | 10 | 4 | 2 | 1 | 4 | 0 | 1 | 2 | 1 | 1 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 2 | 0 | 2 | 1 | 0 | 0 | 1 | 2 | 1 | 4 | 0 | 2 | 0 |
29 | Pascu, Dan | UNIVERSITY OF VIRGINIA. | 1972 | male | 1 | 10 | 2014 | 1 | 21 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 1 |
30 | Rottman, Gary James | THE JOHNS HOPKINS UNIVERSITY. | 1972 | male | 2 | 22 | 2006 | 4 | 97 | 2006 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 3 | 0 | 0 | 4 | 0 | 0 | 0 | 2 | 3 | 2 | 11 | 1 | 1 | 2 | 0 | 1 | 0 | 8 | 5 | 2 | 4 | 1 | 4 | 3 | 3 | 4 | 3 | 6 | 1 | 2 | 0 | 4 | 15 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
31 | Scoville, Nicholas Zabriskie | COLUMBIA UNIVERSITY. | 1972 | male | 3 | 59 | 2017 | 6 | 372 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 2 | 3 | 1 | 1 | 1 | 4 | 1 | 1 | 2 | 4 | 2 | 1 | 3 | 1 | 2 | 2 | 0 | 1 | 0 | 3 | 0 | 1 | 0 | 2 | 2 | 2 | 1 | 1 | 0 | 2 | 1 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 2 |  0 | 0 | 0 | 0 | 0 | 6 | 2 | 3 | 5 | 4 | 2 | 3 | 7 | 8 | 4 | 7 | 6 | 7 | 6 | 9 | 11 | 13 | 6 | 3 | 8 | 3 | 7 | 2 | 3 | 3 | 6 | 4 | 12 | 6 | 3 | 1 | 6 | 7 | 5 | 3 | 31 | 12 | 24 | 33 | 12 | 15 | 14 | 12 | 15 | 13 |
32 | Fullerton, Louis Wayne | THE UNIVERSITY OF MICHIGAN. | 1972 | male | 1 | 2 | 1982 | 1 | 3 | 1982 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
33 | Chipman, Eric George | HARVARD UNIVERSITY. | 1972 | male | 1 | 6 | 1981 | 1 | 23 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 4 | 1 | 3 | 1 | 1 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
34 | Day, Kenrick Lloyd | THE OHIO STATE UNIVERSITY. | 1972 | male | 1 | 14 | 1981 | 1 | 15 | 1981 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 3 | 2 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 3 | 3 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
35 | Jones, Allen D. | STATE UNIVERSITY OF NEW YORK AT ALBANY. | 1972 | male | 1 | 18 | 2017 | 1 | 94 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 4 | 0 | 0 | 0 | 3 | 3 | 3 | 4 | 4 | 5 | 2 | 3 | 1 | 3 | 2 | 8 | 7 | 6 | 3 | 1 | 4 | 3 | 1 | 3 | 2 | 5 |
36 | Keesey, Michael Savage West | UNIVERSITY OF CALIFORNIA, LOS ANGELES. | 1972 | male | 1 | 0 | 1972 | 1 | 3 | 2001 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
37 | Lutz, Julie Haynes | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN. | 1972 | female | 2 | 23 | 2010 | 2 | 39 | 2012 | 0 | 0 | 0 | 0 | 0 | 2 | 3 | 1 | 0 | 1 | 4 | 0 | 2 | 0 | 1 | 0 | 1 | 2 | 0 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 3 | 1 | 0 | 1 | 4 | 0 | 3 | 2 | 3 | 1 | 1 | 2 | 2 | 2 | 3 | 0 | 3 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 |
38 | Moore, Ronald Lee | STANFORD UNIVERSITY. | 1972 | male | 2 | 38 | 2015 | 3 | 156 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 2 | 0 | 1 | 0 | 0 | 1 | 3 | 1 | 1 | 3 | 1 | 0 | 2 | 1 | 1 | 0 | 2 | 2 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 2 | 2 | 4 | 1 | 2 | 3 | 4 | 3 | 2 | 12 | 2 | 5 | 6 | 3 | 5 | 2 | 3 | 4 | 5 | 2 | 3 | 3 | 2 | 2 | 3 | 2 | 5 | 1 | 4 | 5 | 4 | 3 | 6 | 1 | 3 | 6 | 4 | 7 | 4 | 3 | 4 | 7 |
39 | Benedict, George Frederick | NORTHWESTERN UNIVERSITY. | 1972 | male | 1 | 16 | 2016 | 1 | 52 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 5 | 1 | 1 | 3 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 5 | 4 | 4 | 1 | 1 | 1 | 2 | 2 | 2 | 0 | 2 | 1 | 2 | 2 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
40 | Forman, Miriam Ausman | STATE UNIVERSITY OF NEW YORK AT STONY BROOK. | 1972 | female | 8 | 30 | 2013 | 10 | 58 | 2014 | 0 | 1 | 0 | 2 | 4 | 1 | 1 | 1 | 3 | 0 | 4 | 3 | 3 | 0 | 4 | 0 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 2 | 1 | 2 | 4 | 1 | 4 | 1 | 3 | 0 | 4 | 3 | 4 | 0 | 9 | 1 | 3 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 4 | 4 | 2 | 2 | 2 | 1 | 0 | 0 |
41 | Gross, Peter George | Yale University. | 1972 | male | 1 | 9 | 1999 | 2 | 15 | 1999 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 2 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 3 | 0 | 3 | 2 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
42 | Harrison, Thomas Gleich | UNIVERSITY OF MISSOURI - COLUMBIA. | 1972 | male | 1 | 6 | 1984 | 1 | 15 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
43 | Hardekopf, Robert Allen | DUKE UNIVERSITY. | 1972 | male | 1 | 2 | 1976 | 1 | 6 | 1992 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
44 | Christensen, Clark G. | California Institute of Technology | 1972 | male | 1 | 2 | 1978 | 1 | 11 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 2 | 0 |
45 | Hawley, Danny Lee | PRINCETON UNIVERSITY. | 1972 | male | 1 | 2 | 1994 | 1 | 2 | 1994 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
46 | Mashhoon, Bahram | PRINCETON UNIVERSITY. | 1972 | male | 1 | 78 | 2016 | 1 | 155 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 4 | 2 | 2 | 0 | 1 | 1 | 2 | 1 | 1 | 2 | 0 | 6 | 2 | 1 | 0 | 1 | 1 | 1 | 2 | 2 | 3 | 2 | 1 | 0 | 1 | 3 | 3 | 3 | 3 | 2 | 1 | 2 | 3 | 2 | 5 | 2 | 1 | 0 | 1 | 2 | 3 | 2 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 4 | 2 | 2 | 1 | 1 | 1 | 2 | 1 | 1 | 2 | 0 | 10 | 3 | 1 | 0 | 1 | 1 | 2 | 3 | 2 | 4 | 2 | 2 | 3 | 4 | 3 | 6 | 7 | 6 | 9 | 7 | 6 | 10 | 6 | 6 | 5 | 3 | 1 | 5 | 5 | 4 | 4 | 1 | 5 |
47 | Persson, Sven Eric | California Institute of Technology | 1972 | male | 2 | 27 | 2013 | 6 | 200 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 3 | 2 | 0 | 1 | 1 | 0 | 1 | 2 | 1 | 1 | 1 | 1 | 2 | 1 | 0 | 4 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 4 | 9 | 7 | 3 | 1 | 3 | 6 | 3 | 7 | 7 | 2 | 4 | 7 | 6 | 5 | 1 | 6 | 4 | 3 | 1 | 6 | 1 | 2 | 2 | 1 | 2 | 2 | 1 | 2 | 6 | 6 | 2 | 5 | 4 | 6 | 3 | 3 | 8 | 3 | 4 | 11 | 13 | 8 | 8 | 6 |
48 | Wickes, William Castles | PRINCETON UNIVERSITY. | 1972 | male | 1 | 4 | 1975 | 1 | 7 | 1979 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
49 | Winter, Edwin Michael | UNIVERSITY OF CALIFORNIA, LOS ANGELES. | 1972 | male | 2 | 0 | 1972 | 2 | 2 | 2014 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
50 | Miller, George Hollis | THE COLLEGE OF WILLIAM AND MARY. | 1972 | male | 1 | 2 | 1998 | 1 | 10 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 |
51 | Lewis, Roy Roosevelt | UNIVERSITY OF CALIFORNIA, LOS ANGELES. | 1972 | male | 1 | 6 | 1993 | 1 | 40 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 6 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 3 | 5 | 2 | 3 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 |
52 | Schumaier, Daniel Reno | MICHIGAN STATE UNIVERSITY. | 1972 | male | 1 | 0 | 1972 | 1 | 0 | 1972 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
53 | Lodenquai, John F. | COLUMBIA UNIVERSITY. | 1972 | male | 1 | 7 | 1988 | 4 | 14 | 1988 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 0 | 2 | 3 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
54 | Oinas, Valdar | California Institute of Technology | 1972 | male | 1 | 7 | 2001 | 2 | 10 | 2001 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 1 | 0 | 4 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
